date,iso_code,location,new_cases,new_cases_smoothed,reproduction_rate,icu_patients,hosp_patients,new_deaths
2020-03-01,ARE,United Arab Emirates,0,0.0,,,112.6,0
2020-03-02,ARE,United Arab Emirates,32,16.21,,,,0
2020-03-03,ARE,United Arab Emirates,46,26.45,,,273.1,0
2020-03-04,ARE,United Arab Emirates,99,44.83,,64.6,,1
2020-03-05,ARE,United Arab Emirates,65,49.04,,,327.2,1
2020-03-06,ARE,United Arab Emirates,82,54.6,,,245.9,0
2020-03-07,ARE,United Arab Emirates,98,60.92,,41.9,,0
2020-03-08,ARE,United Arab Emirates,115,77.38,,63.7,,0
2020-03-09,ARE,United Arab Emirates,131,91.56,,,,0
2020-03-10,ARE,United Arab Emirates,195,112.8,,,188.1,1
2020-03-11,ARE,United Arab Emirates,205,127.85,0.725,,240.2,0
2020-03-12,ARE,United Arab Emirates,180,144.27,1.001,18.7,,0
2020-03-13,ARE,United Arab Emirates,197,160.67,0.764,82.3,256.5,2
2020-03-14,ARE,United Arab Emirates,213,177.05,0.874,,180.6,0
2020-03-15,ARE,United Arab Emirates,229,193.41,0.949,,,0
2020-03-16,ARE,United Arab Emirates,246,209.75,0.826,23.4,,0
2020-03-17,ARE,United Arab Emirates,262,219.27,0.889,46.2,122.8,0
2020-03-18,ARE,United Arab Emirates,308,233.99,1.002,,330.3,1
2020-03-19,ARE,United Arab Emirates,422,268.52,0.918,,177.2,3
2020-03-20,ARE,United Arab Emirates,330,287.56,0.901,,,2
2020-03-21,ARE,United Arab Emirates,332,304.62,0.7,,,2
2020-03-22,ARE,United Arab Emirates,342,320.76,0.779,49.8,,3
2020-03-23,ARE,United Arab Emirates,358,336.87,0.98,25.0,,0
2020-03-24,ARE,United Arab Emirates,422,359.71,0.936,57.3,,1
2020-03-25,ARE,United Arab Emirates,405,373.54,0.955,,234.3,2
2020-03-26,ARE,United Arab Emirates,406,371.24,0.949,41.6,,3
2020-03-27,ARE,United Arab Emirates,422,384.36,1.018,,152.5,3
2020-03-28,ARE,United Arab Emirates,437,399.37,0.866,,,4
2020-03-29,ARE,United Arab Emirates,453,415.2,0.908,,206.3,1
2020-03-30,ARE,United Arab Emirates,469,430.98,0.797,,,3
2020-03-31,ARE,United Arab Emirates,484,439.94,0.775,74.7,,2
2020-04-01,ARE,United Arab Emirates,519,456.3,0.742,,,1
2020-04-02,ARE,United Arab Emirates,515,471.91,0.821,,107.7,1
2020-04-03,ARE,United Arab Emirates,585,495.25,1.068,,65.0,1
2020-04-04,ARE,United Arab Emirates,685,530.58,0.761,,,4
2020-04-05,ARE,United Arab Emirates,621,554.52,0.889,,,1
2020-04-06,ARE,United Arab Emirates,587,571.43,0.794,,143.3,1
2020-04-07,ARE,United Arab Emirates,635,593.0,0.866,48.4,,6
2020-04-08,ARE,United Arab Emirates,606,605.43,0.947,,,0
2020-04-09,ARE,United Arab Emirates,621,620.56,0.863,,214.2,1
2020-04-10,ARE,United Arab Emirates,675,633.34,1.045,,232.0,4
2020-04-11,ARE,United Arab Emirates,651,628.47,1.093,50.7,,3
2020-04-12,ARE,United Arab Emirates,665,634.84,0.718,,,6
2020-04-13,ARE,United Arab Emirates,680,648.09,0.878,,104.4,3
2020-04-14,ARE,United Arab Emirates,694,656.53,0.956,,,2
2020-04-15,ARE,United Arab Emirates,715,672.13,1.066,,,4
2020-04-16,ARE,United Arab Emirates,752,690.85,0.911,,65.4,3
2020-04-17,ARE,United Arab Emirates,782,706.13,0.958,59.3,118.1,0
2020-04-18,ARE,United Arab Emirates,796,726.9,0.848,,,3
2020-04-19,ARE,United Arab Emirates,803,746.57,0.813,,122.8,4
2020-04-20,ARE,United Arab Emirates,779,760.76,1.114,73.9,240.5,6
2020-04-21,ARE,United Arab Emirates,793,774.85,0.791,30.4,,4
2020-04-22,ARE,United Arab Emirates,807,787.88,1.209,,373.2,5
2020-04-23,ARE,United Arab Emirates,875,805.47,1.052,,,3
2020-04-24,ARE,United Arab Emirates,834,812.92,1.051,,,5
2020-04-25,ARE,United Arab Emirates,847,820.21,1.044,,282.2,4
2020-04-26,ARE,United Arab Emirates,919,836.82,0.964,38.0,,2
2020-04-27,ARE,United Arab Emirates,873,850.29,1.032,78.4,,4
2020-04-28,ARE,United Arab Emirates,928,869.62,0.977,84.8,,1
2020-04-29,ARE,United Arab Emirates,914,884.98,1.055,,,4
2020-04-30,ARE,United Arab Emirates,912,890.26,0.999,,268.9,5
2020-05-01,ARE,United Arab Emirates,925,903.28,0.911,,211.1,5
2020-05-02,ARE,United Arab Emirates,986,923.14,0.922,33.4,73.8,8
2020-05-03,ARE,United Arab Emirates,990,933.18,0.914,,,3
2020-05-04,ARE,United Arab Emirates,1037,956.52,1.113,,,5
2020-05-05,ARE,United Arab Emirates,991,965.52,0.957,78.0,,6
2020-05-06,ARE,United Arab Emirates,1155,999.91,0.831,63.0,,10
